date,cases_total,Cu_hfmd,Rainyseason,schoolvac
2018-05-19,1956.91735,8235.368525,0,0
2018-05-26,2626.389075,10861.7576,0,0
2018-06-02,2935.376025,13797.13363,0,0
2018-06-09,3870.7725,17667.90613,0,0
2018-06-16,5114.949375,22782.8555,1,0
2018-06-23,5760.078125,28542.93363,1,0
2018-06-30,7142.496875,35685.4305,1,0
2018-07-07,12284.4942,47969.9247,1,0
2018-07-14,13540.86293,61510.78763,1,1
2018-07-21,14797.23165,76308.01928,0,1
2018-07-28,13075.54118,89383.56046,0,1
2018-08-04,10634.9202,100018.4807,0,1
2018-08-11,7753.7466,107772.2273,0,1
2018-08-18,7245.3042,115017.5315,0,1
2018-08-25,6652.1214,121669.6529,0,0
2018-09-01,5126.7942,126796.4471,0,0
2018-09-08,5444.4208,132240.8679,0,0
2018-09-15,4188.016,136428.8839,0,0
2018-09-22,3664.514,140093.3979,0,0
2018-09-29,3088.6618,143182.0597,0,0
2018-10-06,2372.966825,145555.0265,0,0
2018-10-13,2207.411,147762.4375,0,0
