date,cases_total_pt_w,Cu_hfmd,Rainyseason,schoolvac
2018-01-06,435.8348,435.8348,0,0
2018-01-13,217.9174,653.7522,0,0
2018-01-20,163.43805,817.19025,0,0
2018-01-27,326.8761,1144.06635,0,0
2018-02-03,271.14375,1415.2101,0,0
2018-02-10,180.7625,1595.9726,0,0
2018-02-17,90.38125,1686.35385,0,0
2018-02-24,135.571875,1821.925725,0,0
2018-03-03,160.1619,1982.087625,0,0
2018-03-10,213.5492,2195.636825,0,0
2018-03-17,213.5492,2409.186025,0,0
2018-03-24,160.1619,2569.347925,0,0
2018-03-31,266.9365,2836.284425,0,0
2018-04-07,331.7409,3168.025325,0,0
2018-04-14,221.1606,3389.185925,0,0
2018-04-21,387.03105,3776.216975,0,0
2018-04-28,442.3212,4218.538175,0,0
2018-05-05,772.467375,4991.00555,0,0
2018-05-12,1287.445625,6278.451175,0,0
2018-05-19,1956.91735,8235.368525,0,0
2018-05-26,2626.389075,10861.7576,0,0
2018-06-02,2935.376025,13797.13363,0,0
2018-06-09,3870.7725,17667.90613,0,0
2018-06-16,5114.949375,22782.8555,1,0
2018-06-23,5760.078125,28542.93363,1,0
2018-06-30,7142.496875,35685.4305,1,0
2018-07-07,12284.4942,47969.9247,1,0
2018-07-14,13540.86293,61510.78763,1,1
2018-07-21,14797.23165,76308.01928,0,1
2018-07-28,13075.54118,89383.56046,0,1
2018-08-04,10634.9202,100018.4807,0,1
2018-08-11,7753.7466,107772.2273,0,1
2018-08-18,7245.3042,115017.5315,0,1
2018-08-25,6652.1214,121669.6529,0,0
2018-09-01,5126.7942,126796.4471,0,0
2018-09-08,5444.4208,132240.8679,0,0
2018-09-15,4188.016,136428.8839,0,0
2018-09-22,3664.514,140093.3979,0,0
2018-09-29,3088.6618,143182.0597,0,0
2018-10-06,2372.966825,145555.0265,0,0
2018-10-13,2207.411,147762.4375,0,0
2018-10-20,1710.743525,149473.181,0,0
2018-10-27,1490.002425,150963.1834,0,0
2018-11-03,1439.4522,152402.6356,0,0
2018-11-10,1499.429375,153902.065,0,0
2018-11-17,1739.338075,155641.4031,0,0
2018-11-24,1679.3609,157320.764,0,0
2018-12-01,1379.475025,158700.239,0,0
2018-12-08,1400.5257,160100.7647,0,0
2018-12-15,1467.2174,161567.9821,0,0
2018-12-22,1000.3755,162568.3576,0,0
2018-12-29,866.9921,163435.3497,0,0
