date,cases_total,Cu_hfmd,Rainyseason,schoolvac
2016-04-30,3056.9727,18410.98213,0,0
2016-05-07,4129.5947,22540.57683,0,0
2016-05-14,5577.6344,28118.21123,0,0
2016-05-21,7454.7229,35572.93413,0,0
2016-05-28,11530.6865,47103.62063,0,0
2016-06-04,15129.50445,62233.12508,0,0
2016-06-11,17947.74548,80180.87056,0,0
2016-06-18,21606.51453,101787.3851,1,0
2016-06-25,25265.28358,127052.6687,1,0
2016-07-02,24574.33688,151627.0055,1,0
2016-07-09,22538.88675,174165.8923,1,0
2016-07-16,20652.372,194818.2643,1,1
2016-07-23,17723.30963,212541.5739,1,1
2016-07-30,13154.94765,225696.5216,0,1
2016-08-06,11268.93365,236965.4552,0,1
2016-08-13,9807.2728,246772.728,0,1
2016-08-20,7449.7553,254222.4833,0,0
2016-08-27,5563.7413,259786.2246,0,0
2016-09-03,4026.08505,263812.3097,0,0
2016-09-10,3355.070875,267167.3806,0,0
2016-09-17,3458.303825,270625.6844,0,0
2016-09-24,2425.974325,273051.6587,0,0
