date,cases_total,Cu_hfmd,Rainyseason,schoolvac
2019-04-20,1746.2325,11912.68008,0,0
2019-04-27,2735.76425,14648.44433,0,0
2019-05-04,3311.09415,17959.53848,0,0
2019-05-11,3363.6512,21323.18968,0,0
2019-05-18,5045.4768,26368.66648,0,0
2019-05-25,8251.45685,34620.12333,0,0
2019-06-01,9355.1549,43975.27823,0,0
2019-06-08,10127.12063,54102.39886,0,0
2019-06-15,13187.76153,67290.16039,0,0
2019-06-22,19219.02448,86509.18487,0,0
2019-06-29,23809.98583,110319.1707,1,0
2019-07-06,31432.45838,141751.6291,1,0
2019-07-13,30207.20513,171958.8342,1,1
2019-07-20,31291.083,203249.9172,1,1
2019-07-27,29830.20413,233080.1213,1,1
2019-08-03,21058.0551,254138.1764,1,1
2019-08-10,15836.34225,269974.5187,0,1
2019-08-17,14980.32375,284954.8424,0,1
2019-08-24,11941.45808,296896.3005,0,1
2019-08-31,9330.60165,306226.9022,0,0
2019-09-07,9098.90115,315325.8033,0,0
2019-09-14,8234.7597,323560.563,0,0
2019-09-21,5998.1583,329558.7213,0,0
2019-09-28,1321.6281,330880.3494,0,0
2019-10-05,4432.89915,335313.2486,0,0
2019-10-12,3776.17335,339089.4219,0,0
2019-10-19,2626.9032,341716.3251,0,0
