date,cases_total_pt_w,Cu_hfmd,Rainyseason,schoolvac
2019-01-05,699.7755,699.7755,0,0
2019-01-12,699.7755,1399.551,0,0
2019-01-19,513.1687,1912.7197,0,0
2019-01-26,513.1687,2425.8884,0,0
2019-02-02,205.440625,2631.329025,0,0
2019-02-09,451.969375,3083.2984,0,0
2019-02-16,534.145625,3617.444025,0,0
2019-02-23,451.969375,4069.4134,0,0
2019-03-02,738.84335,4808.25675,0,0
2019-03-09,580.519775,5388.776525,0,0
2019-03-16,474.970725,5863.74725,0,0
2019-03-23,791.617875,6655.365125,0,0
2019-03-30,949.94145,7605.306575,0,0
2019-04-06,1222.36275,8827.669325,0,0
2019-04-13,1338.77825,10166.44758,0,0
2019-04-20,1746.2325,11912.68008,0,0
2019-04-27,2735.76425,14648.44433,0,0
2019-05-04,3311.09415,17959.53848,0,0
2019-05-11,3363.6512,21323.18968,0,0
2019-05-18,5045.4768,26368.66648,0,0
2019-05-25,8251.45685,34620.12333,0,0
2019-06-01,9355.1549,43975.27823,0,0
2019-06-08,10127.12063,54102.39886,0,0
2019-06-15,13187.76153,67290.16039,0,0
2019-06-22,19219.02448,86509.18487,0,0
2019-06-29,23809.98583,110319.1707,1,0
2019-07-06,31432.45838,141751.6291,1,0
2019-07-13,30207.20513,171958.8342,1,1
2019-07-20,31291.083,203249.9172,1,1
2019-07-27,29830.20413,233080.1213,1,1
2019-08-03,21058.0551,254138.1764,1,1
2019-08-10,15836.34225,269974.5187,0,1
2019-08-17,14980.32375,284954.8424,0,1
2019-08-24,11941.45808,296896.3005,0,1
2019-08-31,9330.60165,306226.9022,0,0
2019-09-07,9098.90115,315325.8033,0,0
2019-09-14,8234.7597,323560.563,0,0
2019-09-21,5998.1583,329558.7213,0,0
2019-09-28,1321.6281,330880.3494,0,0
2019-10-05,4432.89915,335313.2486,0,0
2019-10-12,3776.17335,339089.4219,0,0
2019-10-19,2626.9032,341716.3251,0,0
2019-10-26,2079.6317,343795.9568,0,0
2019-11-02,1836.195075,345632.1519,0,0
2019-11-09,2058.764175,347690.9161,0,0
2019-11-16,1724.910525,349415.8266,0,0
2019-11-23,1446.69915,350862.5257,0,0
2019-11-30,1502.341425,352364.8672,0,0
2019-12-07,1091.664,353456.5312,0,0
2019-12-14,1273.608,354730.1392,0,0
2019-12-21,667.128,355397.2672,0,0
2019-12-28,727.776,356125.0432,0,0
