days,Number of HFMD patients,Cu_hfmd,Rt,RtLB,RtUB,Abshum,Rainyseason,schoolvac
2019-04-28,441.8004856,14901.03036,1.050034291,0.965326144,1.134742438,5.39323716,0,0
2019-04-29,449.7297795,15350.76014,1.036440682,0.952881178,1.120000186,5.941628406,0,0
2019-04-30,455.9043069,15806.66444,1.024626703,0.941946593,1.107306813,6.626499392,0,0
2019-05-01,460.3240678,16266.98851,1.01606417,0.933953704,1.098174637,6.758312251,0,0
2019-05-02,462.9890623,16729.97757,1.013442393,0.931623547,1.095261239,3.971636521,0,0
2019-05-03,463.8992903,17193.87686,1.019676405,0.937727589,1.10162522,5.382400552,0,0
2019-05-04,463.0547518,17656.93162,1.035960392,0.953444701,1.118476083,6.185505417,0,0
2019-05-05,461.6220019,18118.55362,1.060800943,0.977503182,1.144098703,5.341855162,0,0
2019-05-06,464.2672609,18582.82088,1.090801432,1.006873132,1.174729733,3.244714261,0,0
2019-05-07,472.1570839,19054.97796,1.122382026,1.038343615,1.206420438,4.151661731,0,0
2019-05-08,485.2914708,19540.26943,1.152930111,1.069263063,1.23659716,6.301206855,0,0
2019-05-09,503.6704216,20043.93986,1.180821006,1.09808777,1.263554243,5.598940568,0,0
2019-05-10,527.2939365,20571.23379,1.205137597,1.123683256,1.286591939,6.856222872,0,0
2019-05-11,556.1620152,21127.39581,1.225384502,1.145647472,1.305121532,6.686476942,0,0
2019-05-12,590.274658,21717.67047,1.241582755,1.163847413,1.319318097,6.688770365,0,0
2019-05-13,629.6318647,22347.30233,1.253832302,1.178376083,1.329288521,6.774708469,0,0
2019-05-14,674.2336353,23021.53597,1.261805862,1.188725804,1.33488592,7.174556409,0,0
2019-05-15,724.0799699,23745.61593,1.264323985,1.193799929,1.334848041,8.269909013,0,0
2019-05-16,779.1708684,24524.7868,1.259814305,1.191935186,1.327693423,8.753964013,0,0
2019-05-17,839.5063309,25364.29313,1.247269433,1.182124776,1.312414089,9.345638648,0,0
2019-05-18,905.0863574,26269.37949,1.22743925,1.164998061,1.289880439,9.499884227,0,0
2019-05-19,974.1030131,27243.4825,1.202895193,1.143094655,1.262695731,15.47442713,0,0
2019-05-20,1039.324559,28282.80706,1.1768869,1.119399356,1.234374444,8.812035844,0,0
2019-05-21,1098.943061,29381.75012,1.151783791,1.096290564,1.207277019,7.169113907,0,0
2019-05-22,1152.958519,30534.70864,1.128749149,1.074945324,1.182552973,7.1151647,0,0
2019-05-23,1201.370932,31736.07958,1.107945131,1.055568631,1.160321631,8.105658902,0,0
2019-05-24,1244.180301,32980.25988,1.08906297,1.03791069,1.14021525,9.95384023,0,0
2019-05-25,1281.386625,34261.6465,1.07173946,1.021617619,1.121861301,8.990223309,0,0
2019-05-26,1312.989906,35574.63641,1.055700675,1.006460249,1.104941102,8.262097857,0,0
2019-05-27,1338.990142,36913.62655,1.04087297,0.992359632,1.089386308,12.25433933,0,0
2019-05-28,1359.387334,38273.01388,1.027570758,0.979632173,1.075509343,6.628091081,0,0
2019-05-29,1374.181481,39647.19536,1.016934278,0.96942043,1.064448127,7.84291412,0,0
2019-05-30,1383.372584,41030.56795,1.010993598,0.963713519,1.058273678,7.895335604,0,0
2019-05-31,1386.960643,42417.52859,1.011820679,0.964580773,1.059060585,7.946753385,0,0
