days,Number of HFMD patients,Cu_hfmd,Rt,RtLB,RtUB,Abshum,Rainyseason,schoolvac
2018-05-18,282.3479126,7474.988499,1.146543677,1.037103862,1.255983492,12.15161775,0,0
2018-05-19,294.3908524,7769.379351,1.145979552,1.038807467,1.253151637,6.826307426,0,0
2018-05-20,306.8938299,8076.273181,1.145135616,1.040287853,1.249983378,4.575876406,0,0
2018-05-21,319.8568452,8396.130026,1.144166103,1.041505452,1.246826755,6.814511491,0,0
2018-05-22,333.2798983,8729.409925,1.142920401,1.042319482,1.243521321,11.55521934,0,0
2018-05-23,347.1629892,9076.572914,1.141318677,1.042816056,1.239821297,7.96039588,0,0
2018-05-24,361.5061178,9438.079032,1.139615824,1.043221174,1.236010475,7.122473549,0,0
2018-05-25,376.3092842,9814.388316,1.138093755,1.043549922,1.232637587,7.470414405,0,0
2018-05-26,391.5724884,10205.9608,1.136828099,1.044274283,1.229381914,9.091426573,0,0
2018-05-27,407.2957303,10613.25653,1.135778364,1.044978809,1.22657792,8.144435332,0,0
2018-05-28,423.47901,11036.73554,1.134487051,1.045460706,1.223513395,9.743358201,0,0
2018-05-29,440.1223275,11476.85787,1.132686946,1.045447901,1.219925991,12.87347649,0,0
2018-05-30,457.2256828,11934.08355,1.130231962,1.044697936,1.215765987,11.94554977,0,0
2018-05-31,474.7890758,12408.87263,1.126958316,1.043152085,1.210764547,10.28457606,0,0
2018-06-01,492.8125066,12901.68514,1.12270931,1.040560297,1.204858323,10.34775241,0,0
2018-06-02,511.2959751,13412.98111,1.117306407,1.036755345,1.197857469,8.776870886,0,0
2018-06-03,530.0468316,13943.02794,1.110841816,1.031907973,1.18977566,7.912538292,0,0
2018-06-04,548.2944761,14491.32242,1.10376148,1.026303709,1.181219252,9.974054493,0,0
2018-06-05,565.8462589,15057.16868,1.096618906,1.020572494,1.172665317,10.8063827,0,0
2018-06-06,582.7021799,15639.87086,1.089925512,1.015157857,1.164693168,12.75660497,0,0
2018-06-07,598.8622392,16238.7331,1.083797533,1.010185168,1.157409899,13.08774793,0,0
2018-06-08,614.3264366,16853.05953,1.078038134,1.005469728,1.150606539,12.8299188,0,0
2018-06-09,629.0947723,17482.15431,1.072476027,1.00090824,1.144043814,12.51416001,0,0
2018-06-10,643.1672462,18125.32155,1.067202753,0.996540021,1.137865485,11.02447362,0,0
2018-06-11,656.5438584,18781.86541,1.062492152,0.992694481,1.132289822,11.66418755,0,0
2018-06-12,669.2246088,19451.09002,1.058826633,0.989734742,1.127918525,11.84645139,0,0
2018-06-13,681.2094974,20132.29952,1.057083452,0.988622752,1.125544153,12.32682439,0,0
2018-06-14,692.4985242,20824.79804,1.058808906,0.990829003,1.126788808,14.01975481,0,0
2018-06-15,703.0916893,21527.88973,1.065528593,0.997916277,1.13314091,11.23876745,0,0
2018-06-16,712.9889926,22240.87872,1.077723518,1.010314891,1.145132145,11.17245313,0,0
2018-06-17,723.2237526,22964.10248,1.094256563,1.026961132,1.161551994,13.41574349,0,0
2018-06-18,737.9292436,23702.03172,1.113062719,1.04606359,1.180061848,11.98696441,0,0
2018-06-19,758.1387841,24460.1705,1.132202982,1.065707288,1.198698675,11.92120835,1,0
2018-06-20,783.852374,25244.02288,1.150266686,1.0845301,1.216003272,13.41189143,1,0
2018-06-21,815.0700135,26059.09289,1.166476011,1.101696111,1.231255911,12.43390042,1,0
2018-06-22,851.7917023,26910.88459,1.180490315,1.11687839,1.24410224,9.412894763,1,0
2018-06-23,894.0174407,27804.90203,1.192255388,1.129950338,1.254560438,11.15661686,1,0
2018-06-24,941.7472286,28746.64926,1.201808644,1.140951972,1.262665316,13.63993035,1,0
2018-06-25,994.9810659,29741.63033,1.209174949,1.149845006,1.268504893,14.15253894,1,0
2018-06-26,1053.718953,30795.34928,1.214090321,1.156377473,1.271803169,17.17065082,1,0
2018-06-27,1117.960889,31913.31017,1.215795569,1.159750592,1.271840547,15.87498639,1,0
2018-06-28,1187.706875,33101.01705,1.213109144,1.158797598,1.26742069,17.63283437,1,0
2018-06-29,1262.95691,34363.97396,1.205184026,1.152630791,1.25773726,17.48880444,1,0
2018-06-30,1343.710995,35707.68495,1.192319756,1.141554065,1.243085446,18.64455711,1,0
2018-07-01,1428.19268,37135.87763,1.176105819,1.127076874,1.225134763,18.16339091,1,0
2018-07-02,1509.296174,38645.1738,1.158561023,1.111104035,1.206018012,19.06395382,1,0
2018-07-03,1585.245028,40230.41883,1.141267242,1.095196266,1.187338218,19.19894479,1,0
2018-07-04,1656.039241,41886.45807,1.125125524,1.080273022,1.169978025,18.05960536,1,0
2018-07-05,1721.678815,43608.13689,1.110427024,1.066644338,1.154209711,17.08606099,1,0
2018-07-06,1782.163748,45390.30064,1.097045364,1.054189491,1.139901237,12.56216613,1,0
2018-07-07,1837.49404,47227.79468,1.084709289,1.0426681,1.126750479,10.96456818,1,0
2018-07-08,1887.669693,49115.46437,1.073241136,1.031928072,1.114554199,10.75842,1,0
2018-07-09,1932.690705,51048.15508,1.062541523,1.021858631,1.103224414,14.77272882,1,0
2018-07-10,1972.557077,53020.71215,1.052476448,1.012346138,1.092606758,18.6672805,1,0
2018-07-11,2007.268809,55027.98096,1.042882208,1.003225397,1.08253902,20.92572464,1,0
2018-07-12,2036.825901,57064.80686,1.033567973,0.994333474,1.072802472,20.5468358,0,0
2018-07-13,2061.228352,59126.03521,1.02436664,0.985489116,1.063244163,19.29555474,0,0
2018-07-14,2080.476163,61206.51138,1.015133263,0.976562374,1.053704151,18.49742667,0,0
2018-07-15,2094.413896,63300.92527,1.005809243,0.967498365,1.044120122,18.83852597,0,0
2018-07-16,2102.419802,65403.34508,0.99637766,0.958273347,1.034481973,17.54427609,0,1
2018-07-17,2104.338444,67507.68352,0.986814184,0.948864641,1.024763728,17.76587983,0,1
2018-07-18,2100.16982,69607.85334,0.97709483,0.939249583,1.014940078,17.3515996,0,1
2018-07-19,2089.913932,71697.76727,0.967195743,0.929405255,1.00498623,17.47817328,0,1
2018-07-20,2073.570779,73771.33805,0.957083911,0.919298321,0.994869501,17.94591685,0,1
2018-07-21,2051.140361,75822.47841,0.946693939,0.908854469,0.98453341,16.11928418,0,1
2018-07-22,2022.622678,77845.10109,0.935919099,0.897985561,0.973852636,16.03174104,0,1
2018-07-23,1988.017731,79833.11882,0.924680502,0.88659116,0.962769844,17.89256813,0,1
2018-07-24,1947.325518,81780.44434,0.913072608,0.87476828,0.951376937,19.31759287,0,1
2018-07-25,1900.546041,83680.99038,0.901670221,0.863086177,0.940254265,20.03305927,0,1
2018-07-26,1847.679299,85528.66968,0.891568216,0.852596201,0.930540231,20.80633196,0,1
2018-07-27,1788.725293,87317.39497,0.883952866,0.84446919,0.923436542,21.65717862,0,1
2018-07-28,1723.684021,89041.07899,0.879505647,0.839361453,0.919649841,22.6686191,0,1
2018-07-29,1654.219308,90695.2983,0.878066221,0.837107305,0.919025136,16.54366187,0,1
2018-07-30,1586.986443,92282.28474,0.878921248,0.837091556,0.920750941,16.78070031,0,1
2018-07-31,1523.64925,93805.93399,0.881364442,0.838632834,0.924096051,17.34291979,0,1
2018-08-01,1464.207728,95270.14172,0.884902361,0.841234954,0.928569769,20.01323437,0,1
2018-08-02,1408.661878,96678.8036,0.889302409,0.844703997,0.933900822,20.00003956,0,1
2018-08-03,1357.011699,98035.8153,0.894523988,0.848974661,0.940073316,19.57792119,0,1
2018-08-04,1309.257192,99345.07249,0.90054296,0.85404448,0.94704144,19.20799176,0,1
2018-08-05,1265.398356,100610.4708,0.90732157,0.859883639,0.9547595,21.37127528,0,1
2018-08-06,1225.435192,101835.906,0.914746802,0.866389523,0.96310408,22.15179851,0,1
2018-08-07,1189.367699,103025.2737,0.92256701,0.873324467,0.971809554,19.60343563,0,1
2018-08-08,1157.195878,104182.4696,0.930325804,0.880251257,0.98040035,20.23629011,0,1
2018-08-09,1128.919728,105311.3893,0.937368819,0.886537278,0.988200359,21.54937842,0,1
2018-08-10,1104.53925,106415.9286,0.943033791,0.891539415,0.994528168,18.79781253,0,1
2018-08-11,1084.054443,107499.983,0.946939065,0.894868134,0.999009995,17.64545621,0,1
2018-08-12,1066.841305,108566.8243,0.949152094,0.896621675,1.001682513,18.91670606,0,1
2018-08-13,1050.403826,109617.2282,0.950102612,0.897127089,1.003078135,20.96316559,0,1
2018-08-14,1034.118004,110651.3462,0.950288067,0.896898361,1.003677772,18.94734697,0,1
2018-08-15,1017.983839,111669.33,0.950166397,0.896360668,1.003972125,19.33674765,0,1
2018-08-16,1002.00133,112671.3313,0.949958443,0.895730709,1.004186177,15.3713995,0,1
2018-08-17,986.1704781,113657.5018,0.949670388,0.895011181,1.004329596,10.02571735,0,1
2018-08-18,970.4912826,114627.9931,0.949282408,0.894180945,1.00438387,11.07624281,0,1
2018-08-19,954.9637437,115582.9568,0.948895742,0.893370872,1.004420613,13.58101994,0,1
2018-08-20,939.5878615,116522.5447,0.948644905,0.892685346,1.004604464,15.98599866,0,0
2018-08-21,924.3636359,117446.9083,0.948477636,0.892040711,1.00491456,17.62616303,0,0
2018-08-22,909.2910669,118356.1994,0.948222284,0.8913279,1.005116668,16.3558391,0,0
2018-08-23,894.3701546,119250.5696,0.947811329,0.890450607,1.00517205,17.24772057,0,0
2018-08-24,879.6008989,120130.1705,0.947298088,0.889493834,1.005102341,19.00247632,0,0
2018-08-25,864.9832998,120995.1538,0.946795961,0.888504308,1.005087615,15.65126323,0,0
2018-08-26,850.5122904,121845.6661,0.946322713,0.887565692,1.005079734,14.22769538,0,0
2018-08-27,836.1676026,122681.8337,0.945859065,0.886588031,1.005130099,18.26049216,0,0
2018-08-28,821.9441695,123503.7778,0.945362268,0.885599731,1.005124805,19.68818407,0,0
2018-08-29,807.841991,124311.6198,0.94489252,0.884625846,1.005159193,19.76720702,0,0
2018-08-30,793.8610671,125105.4809,0.944468293,0.8836837,1.005252886,18.74097879,0,0
2018-08-31,780.0013979,125885.4823,0.94404292,0.882725856,1.005359983,15.62045006,0,0
2018-09-01,766.2629834,126651.7453,0.943525422,0.881664675,1.005386169,13.66806308,0,0
2018-09-02,752.6458235,127404.3911,0.942864102,0.880488613,1.005239591,12.90323262,0,0
2018-09-03,739.1499182,128143.541,0.942128384,0.879180491,1.005076277,17.58533053,0,0
2018-09-04,725.7752676,128869.3163,0.941458815,0.877965782,1.004951849,14.0146094,0,0
2018-09-05,712.5218717,129581.8381,0.940988252,0.876933613,1.005042892,13.37569809,0,0
2018-09-06,699.3897304,130281.2279,0.940542249,0.875864416,1.005220081,15.01916991,0,0
2018-09-07,686.3788437,130967.6067,0.939783231,0.874516587,1.005049875,10.44945424,0,0
2018-09-08,673.4892117,131641.0959,0.93856039,0.872698595,1.004422185,9.032919187,0,0
2018-09-09,660.6843458,132301.7803,0.936920946,0.870508824,1.003333067,9.226664963,0,0
2018-09-10,647.8182917,132949.5986,0.935044385,0.868019339,1.002069431,9.958013617,0,0
2018-09-11,634.8545608,133584.4531,0.933073123,0.865417925,1.000728321,9.103848676,0,0
2018-09-12,621.7931531,134206.2463,0.931115862,0.862814168,0.999417556,10.53377426,0,0
2018-09-13,608.6340686,134814.8803,0.929137347,0.860168954,0.998105741,13.33749328,0,0
2018-09-14,595.3773074,135410.2577,0.927030411,0.857313317,0.996747506,13.96743342,0,0
2018-09-15,582.0228694,135992.2805,0.924783266,0.854356592,0.995209941,15.85724682,0,0
2018-09-16,568.5707546,136560.8513,0.922500798,0.851344712,0.993656885,16.25916444,0,0
2018-09-17,555.0209631,137115.8722,0.920125581,0.848149227,0.992101935,12.26415624,0,0
2018-09-18,541.3734948,137657.2457,0.917553955,0.84472852,0.99037939,11.34406459,0,0
2018-09-19,527.6283497,138184.8741,0.914927716,0.841290388,0.988565044,11.35951183,0,0
2018-09-20,513.7855278,138698.6596,0.912560807,0.837998028,0.987123586,13.31815605,0,0
2018-09-21,499.8450292,139198.5046,0.910670552,0.835129213,0.986211891,14.2254635,0,0
2018-09-22,485.8068538,139684.3115,0.90937047,0.832791813,0.985949127,10.78041711,0,0
2018-09-23,471.7571617,140156.0687,0.908640681,0.830956827,0.986324535,8.606322205,0,0
2018-09-24,458.0405938,140614.1093,0.908461885,0.829601034,0.987322737,7.029448145,0,0
2018-09-25,444.74331,141058.8526,0.908848457,0.828832434,0.988864481,6.95706784,0,0
2018-09-26,431.8653104,141490.7179,0.909640756,0.828409377,0.990872135,7.89413095,0,0
2018-09-27,419.406595,141910.1245,0.910376867,0.82787208,0.992881655,7.611936628,0,0
2018-09-28,407.3671638,142317.4916,0.910780474,0.827048559,0.994512389,8.66566592,0,0
2018-09-29,395.7470168,142713.2387,0.911148386,0.826240561,0.99605621,9.357859126,0,0
2018-09-30,384.5461541,143097.7848,0.911984303,0.825841391,0.998127214,7.726595577,0,0
2018-10-01,373.7645755,143471.5494,0.913394518,0.825947925,1.000841111,7.118971122,0,0
2018-10-02,363.4022811,143834.9517,0.915045605,0.826223623,1.003867587,8.032098735,0,0
2018-10-03,353.4592709,144188.4109,0.916577892,0.826447427,1.006708357,8.182231422,0,0
2018-10-04,343.935545,144532.3465,0.917934768,0.826582853,1.009286683,9.076339227,0,0
2018-10-05,334.8311032,144867.1776,0.919208078,0.826586599,1.011829557,12.00251815,0,0
2018-10-06,326.1459456,145193.3235,0.92043903,0.826497195,1.014380865,12.76546943,0,0
2018-10-07,317.8555237,145511.179,0.921627721,0.826469322,1.016786121,7.303367842,0,0
2018-10-08,309.8616428,145821.0407,0.922715851,0.82629658,1.019135121,5.649548062,0,0
2018-10-09,302.1397546,146123.1804,0.923600607,0.825870952,1.021330262,6.697145685,0,0
2018-10-10,294.6898589,146417.8703,0.924430232,0.825509978,1.023350486,6.567174011,0,0
2018-10-11,287.5119558,146705.3823,0.925458025,0.825304917,1.025611134,4.503808702,0,0
