days,Number of HFMD patients,Cu_hfmd,Rt,RtLB,RtUB,Abshum,Rainyseason,schoolvac
2014-04-18,335.7336628,12038.51859,1.103451531,1.004462924,1.202440137,7.785779522,0,0
2014-04-19,344.9984818,12383.51707,1.108505368,1.01065868,1.206352056,6.675215123,0,0
2014-04-20,354.25733,12737.7744,1.116758318,1.019918496,1.21359814,6.498480907,0,0
2014-04-21,364.8995783,13102.67398,1.126740919,1.031089488,1.222392349,6.617300711,0,0
2014-04-22,377.2725696,13479.94655,1.137007802,1.042604594,1.231411011,5.416034716,0,0
2014-04-23,391.3763038,13871.32285,1.146433439,1.053473019,1.239393858,6.833404609,0,0
2014-04-24,407.210781,14278.53363,1.154609653,1.063272773,1.245946533,7.029448145,0,0
2014-04-25,424.7760011,14703.30964,1.161614226,1.072048541,1.251179912,5.076372782,0,0
2014-04-26,444.0719641,15147.3816,1.167590043,1.079809727,1.25537036,6.196160896,0,0
2014-04-27,465.09867,15612.48027,1.172494103,1.086602662,1.258385544,11.40613264,0,0
2014-04-28,487.8561189,16100.33639,1.176288054,1.092354525,1.260221582,10.73004987,0,0
2014-04-29,512.3443107,16612.6807,1.179020237,1.097009919,1.261030555,8.822496259,0,0
2014-04-30,538.5632454,17151.24394,1.180867286,1.100898057,1.260836515,8.436658439,0,0
2014-05-01,566.512923,17717.75687,1.182070468,1.10407634,1.260064597,7.860181378,0,0
2014-05-02,596.1933436,18313.95021,1.182638439,1.106551814,1.258725064,8.94905524,0,0
2014-05-03,627.6045071,18941.55472,1.182630129,1.108507934,1.256752324,6.028280299,0,0
2014-05-04,660.7464135,19602.30113,1.182188297,1.109952224,1.254424369,6.051429569,0,0
2014-05-05,695.6190629,20297.9202,1.181289639,1.110912261,1.251667016,5.554896225,0,0
2014-05-06,732.2224552,21030.14265,1.179893764,1.111296221,1.248491306,4.85130523,0,0
2014-05-07,770.5565904,21800.69924,1.177900416,1.111104487,1.244696345,6.309944878,0,0
2014-05-08,810.6214686,22611.32071,1.175141801,1.110070954,1.240212647,10.28765309,0,0
2014-05-09,852.4170896,23463.7378,1.171336649,1.107921482,1.234751816,7.881966049,0,0
2014-05-10,895.9434536,24359.68125,1.166468301,1.104717606,1.228218995,7.388056139,0,0
2014-05-11,940.9447804,25300.62603,1.160876787,1.10071858,1.221034994,8.579130659,0,0
2014-05-12,986.3979495,26287.02398,1.154946801,1.096278199,1.213615402,10.79486514,0,0
2014-05-13,1032.047181,27319.07116,1.149020079,1.09177415,1.206266009,11.08332481,0,0
