date,cases_total_pt_w,Cu_hfmd,Rainyseason,schoolvac
2016-01-02,883.42795,883.42795,0,0
2016-01-09,883.42795,1766.8559,0,0
2016-01-16,1195.22605,2962.08195,0,0
2016-01-23,1091.29335,4053.3753,0,0
2016-01-30,1262.9485,5316.3238,0,0
2016-02-06,861.10125,6177.42505,0,0
2016-02-13,746.28775,6923.7128,0,0
2016-02-20,631.47425,7555.18705,0,0
2016-02-27,807.947725,8363.134775,0,0
2016-03-05,497.1986,8860.333375,0,0
2016-03-12,559.348425,9419.6818,0,0
2016-03-19,683.648075,10103.32988,0,0
2016-03-26,683.648075,10786.97795,0,0
2016-04-02,578.10525,11365.0832,0,0
2016-04-09,867.157875,12232.24108,0,0
2016-04-16,1503.07365,13735.31473,0,0
2016-04-23,1618.6947,15354.00943,0,0
2016-04-30,3056.9727,18410.98213,0,0
2016-05-07,4129.5947,22540.57683,0,0
2016-05-14,5577.6344,28118.21123,0,0
2016-05-21,7454.7229,35572.93413,0,0
2016-05-28,11530.6865,47103.62063,0,0
2016-06-04,15129.50445,62233.12508,0,0
2016-06-11,17947.74548,80180.87056,0,0
2016-06-18,21606.51453,101787.3851,1,0
2016-06-25,25265.28358,127052.6687,1,0
2016-07-02,24574.33688,151627.0055,1,0
2016-07-09,22538.88675,174165.8923,1,0
2016-07-16,20652.372,194818.2643,1,1
2016-07-23,17723.30963,212541.5739,1,1
2016-07-30,13154.94765,225696.5216,0,1
2016-08-06,11268.93365,236965.4552,0,1
2016-08-13,9807.2728,246772.728,0,1
2016-08-20,7449.7553,254222.4833,0,0
2016-08-27,5563.7413,259786.2246,0,0
2016-09-03,4026.08505,263812.3097,0,0
2016-09-10,3355.070875,267167.3806,0,0
2016-09-17,3458.303825,270625.6844,0,0
2016-09-24,2425.974325,273051.6587,0,0
2016-10-01,2605.977275,275657.636,0,0
2016-10-08,2772.31625,278429.9522,0,0
2016-10-15,1885.17505,280315.1273,0,0
2016-10-22,2495.084625,282810.2119,0,0
2016-10-29,2510.9322,285321.1441,0,0
2016-11-05,1853.3071,287174.4512,0,0
2016-11-12,1733.7389,288908.1901,0,0
2016-11-19,1972.8753,290881.0654,0,0
2016-11-26,1673.9548,292555.0202,0,0
2016-12-03,1334.6883,293889.7085,0,0
2016-12-10,815.64285,294705.3514,0,0
2016-12-17,444.8961,295150.2475,0,0
2016-12-24,370.74675,295520.9942,0,0
2016-12-31,370.74675,295891.741,0,0
