days,Number of HFMD patients,Cu_hfmd,Rt,RtLB,RtUB,Abshum,Rainyseason,schoolvac
2016-04-25,378.8094595,15705.70088,1.14985102,1.055364984,1.244337056,4.722635184,0,0
2016-04-26,395.7886475,16101.48953,1.143530533,1.051257432,1.235803633,6.198296398,0,0
2016-04-27,412.7320666,16514.22159,1.138842312,1.048593222,1.229091402,4.704639468,0,0
2016-04-28,429.6397168,16943.86131,1.136934152,1.048519829,1.225348475,5.062770009,0,0
2016-04-29,446.5115982,17390.37291,1.138707503,1.051935491,1.225479514,6.480401322,0,0
2016-04-30,463.3477107,17853.72062,1.144093781,1.058698403,1.22948916,6.059381668,0,0
2016-05-01,480.5888937,18334.30951,1.151984374,1.068015514,1.235953233,6.249282747,0,0
2016-05-02,499.9985049,18834.30802,1.160909637,1.078342104,1.24347717,11.42563465,0,0
2016-05-03,522.0173836,19356.3254,1.1695292,1.088520876,1.250537524,9.915627665,0,0
2016-05-04,546.6455298,19902.97093,1.177197839,1.097888337,1.256507341,5.974261589,0,0
2016-05-05,573.8829436,20476.85388,1.183734476,1.106169937,1.261299015,7.511439506,0,0
2016-05-06,603.7296249,21080.5835,1.189099787,1.113374045,1.26482553,12.28381206,0,0
2016-05-07,636.1855738,21716.76907,1.193313387,1.119430396,1.267196378,7.838516796,0,0
2016-05-08,671.2507902,22388.01986,1.19636299,1.124373571,1.26835241,6.860942351,0,0
2016-05-09,708.9252741,23096.94514,1.198288318,1.12822064,1.268355996,7.290829871,0,0
2016-05-10,749.2090256,23846.15416,1.199103236,1.130917647,1.267288824,10.19044243,0,0
2016-05-11,792.1020446,24638.25621,1.198784524,1.132484348,1.2650847,8.176566038,0,0
2016-05-12,837.6043312,25475.86054,1.197315508,1.132892962,1.261738053,9.079456637,0,0
2016-05-13,885.7158853,26361.57642,1.194625908,1.132022105,1.257229711,8.450294047,0,0
2016-05-14,936.436707,27298.01313,1.190719999,1.129877488,1.251562511,7.833119298,0,0
2016-05-15,989.5330534,28287.54619,1.185904748,1.126824674,1.244984823,10.63865991,0,0
2016-05-16,1044.069954,29331.61614,1.180693413,1.123244633,1.238142194,7.133774043,0,0
2016-05-17,1099.813665,30431.4298,1.175463836,1.1195792,1.231348472,7.521766283,0,0
2016-05-18,1156.764188,31588.19399,1.170482125,1.116070618,1.224893632,7.236170387,0,0
2016-05-19,1214.921521,32803.11551,1.165775407,1.11275212,1.218798694,7.383847333,0,0
2016-05-20,1274.285666,34077.40118,1.161257849,1.109545173,1.212970526,6.728472616,0,0
2016-05-21,1334.856621,35412.2578,1.156910412,1.106456865,1.20736396,5.098329412,0,0
2016-05-22,1396.634388,36808.89219,1.152819173,1.103557245,1.202081101,7.681818988,0,0
2016-05-23,1459.618966,38268.51115,1.149023829,1.10089165,1.197156007,8.704041532,0,0
2016-05-24,1523.810355,39792.32151,1.145465329,1.098405622,1.192525036,11.68421879,0,0
2016-05-25,1589.208555,41381.53006,1.142038661,1.095999044,1.188078278,11.33204136,0,0
2016-05-26,1655.813566,43037.34363,1.138702196,1.093648723,1.18375567,11.88394447,0,0
2016-05-27,1723.625388,44760.96902,1.135499216,1.091386123,1.179612309,10.44236145,0,0
2016-05-28,1792.644022,46553.61304,1.132461613,1.089245903,1.175677323,10.38998096,0,0
2016-05-29,1862.861127,48416.47417,1.129599556,1.087240361,1.171958752,10.41477382,0,0
2016-05-30,1934.243352,50350.71752,1.12691326,1.085373103,1.168453417,10.59662965,0,0
2016-05-31,2006.782355,52357.49987,1.124387368,1.083642126,1.165132609,11.61108428,0,0
2016-06-01,2080.478139,54437.97801,1.121965312,1.081972025,1.161958599,8.842536984,0,0
2016-06-02,2155.330702,56593.30871,1.119571289,1.080309056,1.158833522,7.755682632,0,0
2016-06-03,2231.340045,58824.64876,1.117225237,1.078665268,1.155785205,9.042075318,0,0
2016-06-04,2308.506168,61133.15493,1.114984201,1.077107971,1.152860432,9.554466245,0,0
2016-06-05,2386.82907,63519.984,1.112862727,1.075635725,1.150089728,10.09179772,0,0
2016-06-06,2466.308752,65986.29275,1.110766766,1.07416563,1.147367903,10.29160465,0,0
2016-06-07,2546.945214,68533.23796,1.108536382,1.072548797,1.144523966,13.10306166,0,0
2016-06-08,2628.738455,71161.97642,1.105892792,1.07050362,1.141281964,12.52266871,0,0
2016-06-09,2711.688476,73873.66489,1.102393165,1.067592328,1.137194002,12.54515287,0,0
2016-06-10,2795.795277,76669.46017,1.097602672,1.063383383,1.131821961,13.25186653,0,0
2016-06-11,2881.058857,79550.51903,1.091384086,1.057740941,1.125027231,15.6257139,0,0
2016-06-12,2966.262719,82516.78175,1.084037158,1.050957952,1.117116363,16.67605468,0,0
2016-06-13,3046.540867,85563.32261,1.076122846,1.043570308,1.108675384,14.73109386,0,0
2016-06-14,3120.676804,88683.99942,1.068149868,1.03607013,1.100229606,13.28328501,0,0
2016-06-15,3188.670528,91872.66995,1.060425532,1.028771906,1.092079157,14.70755133,0,0
2016-06-16,3250.52204,95123.19199,1.053074333,1.02180249,1.084346177,13.2098967,0,0
2016-06-17,3306.231341,98429.42333,1.046079442,1.01514361,1.077015275,13.23397975,0,0
2016-06-18,3355.798429,101785.2218,1.039363623,1.008730887,1.069996359,12.70073977,1,0
2016-06-19,3399.223306,105184.4451,1.032868661,1.002499645,1.063237676,14.00988988,1,0
2016-06-20,3436.50597,108620.951,1.026565547,0.996432169,1.056698926,14.69629796,1,0
2016-06-21,3467.646423,112088.5975,1.020483922,0.990550315,1.050417529,14.45743623,1,0
2016-06-22,3492.644664,115581.2421,1.014680726,0.984916333,1.044445119,16.47331475,1,0
2016-06-23,3511.500692,119092.7428,1.009247981,0.979622159,1.038873804,15.81279401,1,0
2016-06-24,3524.214509,122616.9573,1.004267815,0.97474586,1.033789769,15.64230707,1,0
2016-06-25,3530.786114,126147.7434,0.99975654,0.970313012,1.029200069,12.52395099,1,0
2016-06-26,3531.59288,129679.3363,0.995639724,0.966245715,1.025033733,12.57593656,1,0
2016-06-27,3528.144305,133207.4806,0.991757004,0.962389269,1.02112474,11.96229534,1,0
2016-06-28,3520.817762,136728.2984,0.987960131,0.958605347,1.017314916,13.56305701,1,0
2016-06-29,3509.613251,140237.9116,0.984172252,0.954813632,1.013530872,13.61794019,1,0
2016-06-30,3494.530771,143732.4424,0.980368035,0.950988943,1.009747127,17.47704924,1,0
2016-07-01,3475.570324,147208.0127,0.976546096,0.947129932,1.005962261,18.65472474,1,0
2016-07-02,3452.731909,150660.7446,0.972685408,0.943215622,1.002155194,16.94002628,1,0
2016-07-03,3426.015526,154086.7602,0.968734582,0.939194333,0.998274832,14.73607816,1,0
2016-07-04,3395.421175,157482.1813,0.964649846,0.935022102,0.994277589,16.13996276,1,0
2016-07-05,3360.948856,160843.1302,0.960430007,0.930702011,0.990158002,19.12622151,1,0
2016-07-06,3322.598568,164165.7288,0.956097224,0.926250929,0.985943519,14.822523,1,0
2016-07-07,3280.370313,167446.0991,0.95163613,0.921648213,0.981624046,15.30270388,1,0
2016-07-08,3234.26409,170680.3632,0.946993402,0.916849338,0.977137466,16.98304673,1,0
2016-07-09,3184.279899,173864.6431,0.942118601,0.911798596,0.972438606,16.87091295,1,0
2016-07-10,3130.41774,176995.0608,0.936973144,0.906456579,0.96748971,17.16627879,1,0
